StoryId,NodeId,ChoiceIndex,ChoiceText,TargetNodeId,ResultKey,ResultValue,UseCondition,RequiredKey,RequiredValue,HideWhenLocked,LockedText,Memo
Normal_01,appointment_choice_001,0,"솔직히 말해, 최악에 가까웠다.",appointment_player_answer_001,,,FALSE,,True,TRUE,,
Normal_01,appointment_choice_001,1,아직은 판단하기 어렵다.,appointment_player_answer_002,,,FALSE,,True,TRUE,,
Normal_01,appointment_choice_001,2,생각보다는 괜찮은 곳이다.,appointment_player_answer_003,,,FALSE,,True,TRUE,,
Normal_02,Choice_Condition,0,아무것도 아니라고 한다.,Condition_Nothing,,,FALSE,,True,TRUE,,
Normal_02,Choice_Condition,1,주거지 부족 문제가 발생했다고 알린다.,Condition_Housing,,,FALSE,,True,TRUE,,
Normal_02,Choice_Refugee,0,다른 구역에서 온 이들을 쫓아내야 한다고 말한다.,Refugee_Expel,,,FALSE,,True,TRUE,,
Normal_02,Choice_Refugee,1,하루아침에 집을 잃은 그들이 안쓰럽다고 말한다.,Refugee_Sympathy,,,FALSE,,True,TRUE,,
Normal_02,Choice_Refugee,2,주거지를 더 지어서 그들을 수용할 수 있지 않냐고 말한다.,Refugee_Build,,,FALSE,,True,TRUE,,
Normal_03,Choice_Question,0,홍련귀에 대해 묻는다.,A_000,,,TRUE,,,FALSE,,
Normal_03,Choice_Question,1,야서에 대해서 묻는다.,B_000,,,TRUE,,,FALSE,,
Normal_03,Choice_Question,2,봐도 잘 모르겠다고 답한다.,C_000,,,FALSE,,,FALSE,,
Normal_03,A_Choice_Feelings,0,무서웠다.,A_Fear,,,FALSE,,,FALSE,,
Normal_03,A_Choice_Feelings,1,평범했다.,A_Normal,,,FALSE,,,FALSE,,
Normal_03,A_Choice_Feelings,2,친절했다.,A_Kind,,,FALSE,,,FALSE,,
Normal_03,B_Choice_Feelings,0,온건해 보였다.,B_Moderate,,,FALSE,,,FALSE,,
Normal_03,B_Choice_Feelings,1,경계하는 것 같았다.,B_Warily,,,FALSE,,,FALSE,,
Normal_03,B_Choice_Feelings,2,특별했다.,B_Special,,,FALSE,,,FALSE,,
Normal_04,Choice_Think,0,평화로워서 좋다고 대답한다.,Peaceful,,,FALSE,,,FALSE,,
Normal_04,Choice_Think,1,오히려 불안하다고 대답한다.,Uneasy,,,FALSE,,,FALSE,,
Normal_04,Choice_Think,2,이제는 익숙해진 것 같다고 대답한다.,Accustomed,,,FALSE,,,FALSE,,
Normal_05,Choice_Report,0,마약 확산 문제에 대해 보고한다.,A_001,,,FALSE,,,FALSE,,
Normal_05,Choice_Report,1,곳곳에서 발생한 사망 사건에 대해 보고한다.,B_001,,,FALSE,,,FALSE,,
Normal_05,Choice_Report,2,세력 간의 충돌에 대해 보고한다.,C_001,,,TRUE,,,FALSE,,
Normal_05,Choice_Think,0,지키고 싶은 것이 있기 때문이라고 대답한다.,A2_001,,,FALSE,,,FALSE,,
Normal_05,Choice_Think,1,언젠가는 나아질 것이라고 믿기 때문이라고 대답한다.,B2_001,,,FALSE,,,FALSE,,
Normal_05,Choice_Think,2,포기할 수 없기 때문이라고 대답한다.,C2_001,,,FALSE,,,FALSE,,
Normal_06,Choice_1,0,알고 있다고 대답한다.,A_001,,,FALSE,,,FALSE,,
Normal_06,Choice_1,1,자세히는 모른다고 대답한다.,B_001,,,FALSE,,,FALSE,,
Normal_06,Choice_2,0,낭만적이라고 생각한다고 대답한다.,A2_001,,,FALSE,,,FALSE,,
Normal_06,Choice_2,1,슬픈 일이라고 생각한다고 대답한다.,B2_001,,,FALSE,,,FALSE,,
Normal_06,Choice_2,2,죽은 사람에게는 의미 없는 일이라고 대답한다.,C2_001,,,FALSE,,,FALSE,,
